REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York City,2011,5,2.47319,2198,38,88873
States,Alabama,2011,6,11.5078,1586,38,13782
States,Alaska,2011,6,1.95891,41,8,2093
States,Arizona,2011,6,2.77627,769,71,27699
States,Arkansas,2011,6,8.08052,285,16,3527
States,California,2011,6,4.88711,1987,138,40658
States,Colorado,2011,6,2.63779,548,12,20775
States,Connecticut,2011,6,1.76373,96,23,5443
States,Delaware,2011,6,2.1037,99,14,4706
States,District of Columbia,2011,6,3.47826,108,4,3105
States,Florida,2011,6,3.19057,996,115,31217
States,Georgia,2011,6,4.87195,1908,63,39163
States,Hawaii,2011,6,4.71753,81,17,1717
States,Idaho,2011,6,4.56026,224,11,4912
States,Illinois,2011,6,4.23328,1774,77,41906
States,Indiana,2011,6,6.07211,832,41,13702
States,Iowa,2011,6,1.72855,81,8,4686
States,Kansas,2011,6,3.19528,341,42,10672
States,Kentucky,2011,6,3.03882,465,15,15302
States,Louisiana,2011,6,7.28468,1596,42,21909
States,Maine,2011,6,1.57754,100,29,6339
States,Maryland,2011,6,3.65262,339,16,9281
States,Massachusetts,2011,6,2.33142,697,52,29896
States,Michigan,2011,6,2.27731,384,52,16862
States,Minnesota,2011,6,2.51155,125,15,4977
States,Mississippi,2011,6,6.14754,1020,46,16592
States,Missouri,2011,6,4.89771,395,30,8065
States,Montana,2011,6,0.355114,10,6,2816
States,Nebraska,2011,6,3.68098,126,15,3423
States,Nevada,2011,6,3.71371,756,39,20357
States,New Hampshire,2011,6,0.725821,40,29,5511
States,New Jersey,2011,6,5.86393,412,25,7026
States,New Mexico,2011,6,4.90175,454,26,9262
States,New York,2011,6,3.89805,572,96,14674
States,North Carolina,2011,6,6.0716,1406,71,23157
States,North Dakota,2011,6,1.5978,29,10,1815
States,Ohio,2011,6,2.26706,418,54,18438
States,Oklahoma,2011,6,7.32127,170,14,2322
States,Oregon,2011,6,2.25032,89,21,3955
States,Pennsylvania,2011,6,3.74081,687,60,18365
States,Rhode Island,2011,6,2.31654,149,20,6432
States,South Carolina,2011,6,6.04218,616,25,10195
States,South Dakota,2011,6,3.20291,185,19,5776
States,Tennessee,2011,6,6.27479,791,55,12606
States,Texas,2011,6,8.12867,3280,91,40351
States,Utah,2011,6,2.90828,299,21,10281
States,Vermont,2011,6,2.73263,116,14,4245
States,Virginia,2011,6,5.12923,3731,91,72740
States,Washington,2011,6,2.16644,63,16,2908
